ID|NUM| MARSHRUT| RASPIS| ST1| ST2| V_PUTI| FIRM_NAME| WAGON| ROUTE_LINK
1753|94 | Одеса Мінськ | 27/03-31/05 (крім 11,19/04/2016), 3/10-11/12/2016 по 3,7,11,15,19,23,27,31(1) числах кожного місяця; 3/06-1/10/2016 по непарних, при двох непарних 29,31,3 | 23600 | 21000 | 21:50 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1753&by_id=1
1755|84  | Київ Маріуполь | з 27/03/2016 щоденно | 22000 | 24400 | 18:20 | "АЗОВ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1755&by_id=1
1762|239 | Київ Ужгород | 29/04, 6/05/2016 | 22000 | 20095 | 15:08 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1762&by_id=1
1782|723  | Харків Київ | з 27/03/2016 щоденно | 22100 | 22000 | 4:38 | ІНТЕРСІТІ+ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1782&by_id=1
1787|745  | Київ Львів | 28,29/04, 2,3,6,8,9/05/2016 | 22000 | 23200 | 5:18 | ІНТЕРСІТІ+ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1787&by_id=1
1788|747  | Дарниця, Київ Тернопіль | з 27/03/2016 щоденно (крім 7-20/04/2016) ; відмінено 5,6/04/2016 | 22080 | 23300 | 6:13 | ІНТЕРСІТІ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1788&by_id=1
1789|746  | Львів Київ | 28,29/04, 2,3,6,8,9/05/2016 | 23200 | 22000 | 6:20 | ІНТЕРСІТІ+ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1789&by_id=1
1790|748  | Тернопіль Київ, Дарниця | з 27/03/2016 щоденно (крім 7-20/04/2016) ; відмінено 5,6/04/2016 | 23300 | 22080 | 6:08 | ІНТЕРСІТІ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1790&by_id=1
1791|724  | Київ Харків | з 27/03/2016 щоденно | 22000 | 22100 | 4:36 | ІНТЕРСІТІ+ | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1791&by_id=1
1794|117  | Київ Чернівці | з 27/03/2016 щоденно, крім 5-20/04/2016 | 22000 | 23500 | 11:05 | "БУКОВИНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1794&by_id=1
1796|118  | Чернівці Київ | з 27/03/2016 щоденно, крім 5-20/04/2016 | 23500 | 22000 | 12:08 | "БУКОВИНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1796&by_id=1
1805|120  | Запоріжжя, Кривий Ріг Київ | з 27/03/2016 щоденно (крім 4-22/04/2016) | 22800 | 22000 | 16:57 |   | true | http://www.uz.gov.ua/passengers/timetable/?ntrain=1805&by_id=1
1806|76  | Київ Кривий Ріг, Запоріжжя | з 27/03/2016 щоденно (крім 4-22/04/2016) | 22000 | 22800 | 17:51 |   | true | http://www.uz.gov.ua/passengers/timetable/?ntrain=1806&by_id=1
